,gene_name,uniprot_id,larval_lethal
0,TC003127,A0A139WLF4,other lethal
1,TC002944,D6WH14,other lethal
2,TC009994,D6WR58,other lethal
3,TC001072,D6W9Y0,other lethal
4,TC010428,D6WKN0,other lethal
5,TC003479,D6WGY3,other lethal
6,TC005395,D6WZ30,other lethal
7,TC014515,D6WP57,other lethal
8,TC011021,D6X4X0,other lethal
9,TC001635,D6W6L7,other lethal
10,TC013867,D6WNN4,other lethal
11,TC016154,D6WBI0,other lethal
12,TC015332,D2A4P0,other lethal
13,TC008488,D2A2P3,other lethal
14,TC009008,D6WPX0,other lethal
15,TC033968,A0A139WDS3,other lethal
16,TC005391,D6WUN6,other lethal
17,TC000243,D6WBT9,other lethal
18,TC006282,D6WVV0,other lethal
19,TC033635,A0A139WFQ4,other lethal
20,TC011475,D6X505,other lethal
21,TC010100,D6WS98,other lethal
22,TC006621,D6WXY0,other lethal
23,TC015959,D6WU16,other lethal
24,TC002994,D6WGI5,other lethal
25,TC005882,D6WVS1,other lethal
26,TC010199,D6WTK8,other lethal
27,TC009938,D6WQI2,other lethal
28,TC009027,A0A139WEJ8,other lethal
29,TC009105,D6WUA4,other lethal
30,TC010830,D6W7G7,other lethal
31,TC009258,D6WSE4,other lethal
32,TC009545,D6WSD5,other lethal
33,TC009279,D6WS17,other lethal
34,TC015061,D2A641,other lethal
35,TC034726,A0A139WGK9,other lethal
36,TC015193,D2A5D2,other lethal
37,TC015300,D2A4V3,other lethal
38,TC014753,D6WJA4,other lethal
39,TC013118,D6WNW9,other lethal
40,TC013231,D6WMJ0,other lethal
41,TC014562,D6WMI1,other lethal
42,TC014454,D6WM15,other lethal
43,TC014434,D6WLY0,other lethal
44,TC013385,D6WLU5,other lethal
45,TC030751,D6WLD9,other lethal
46,TC014286,D6WL27,other lethal
47,TC004120,D6W6Q5,other lethal
48,TC013560,D6WKV1,other lethal
49,TC010400,D6WKS8,other lethal
50,TC013790,D6WJE2,other lethal
51,TC013860,D6WNP5,other lethal
52,TC013870,D6WNN0,other lethal
53,TC013931,D6WNL2,other lethal
54,TC013922,D6WNA9,other lethal
55,TC007075,D2A1P3,other lethal
56,TC007190,D2A0W8,other lethal
57,TC008130,D1ZZZ0,other lethal
58,TC008030,D1ZZE8,other lethal
59,TC008015,D1ZZB6,other lethal
60,TC007971,D2A3E8,other lethal
61,TC007928,D2A360,other lethal
62,TC007585,D2A323,other lethal
63,TC007903,D2A2Z0,other lethal
64,TC007832,D2A2D3,other lethal
65,TC007684,D2A291,other lethal
66,TC004395,D6X558,other lethal
67,TC002444,D6WI56,other lethal
68,TC004382,D6X531,other lethal
69,TC003838,D6WFK0,other lethal
70,TC011241,D6X3F5,other lethal
71,TC011023,D6X4W8,other lethal
72,TC000042,D6WDE3,other lethal
73,TC002961,D6WGY1,other lethal
74,TC003426,D6WGH1,other lethal
